Category,Test Case,Expected Result,Actual Result,Total Builds,Build #s
UI,Bug: Tutorial coins,Show that you receive the coins/ indicator of the amount of coins you have,Nothing to show anywhere in the menu other that the tutorial says you have completed it,3,"2024-03-18 00:00:00, 2024-03-18 00:00:00, 2024-02-25 00:00:00"
game,playing tutorial,when playing the tutorial the AI should act like a normal player,"during the AI's 4th turn, it does nothing and just waits out the timer of its turn",5,"2024-03-06 00:00:00, 2024-03-10 00:00:00, 2024-02-25 00:00:00, 2024-02-27 00:00:00, 2024-02-27 00:00:00"
Arena,Game glicthed out,The game is run till one of the plays are defeated or surrender,"The game glitches and crashed, returning user to login page",3,"2024-03-17 00:00:00, 2024-03-13 00:00:00, 2024-10-15 00:00:00"
Game,When logining back into the game it appears that my previous deck doesn't get automatically selected,I expect my previous deck to be selected if it is the only one made,It doesn't save my selected deck,6,"2024-03-18 00:00:00, 2024-03-11 00:00:00, 2024-02-26 00:00:00, 2024-02-23 00:00:00, 2025-02-25 00:00:00, 2024-10-06 00:00:00"
Game,Playing a regular arena,Be able to use my cards in arena,There was an instance where my card would finally be able to activate when it was the opponents turn but wouldn't work regardless in both ends.,3,"2024-03-18 00:00:00, 2024-10-15 00:00:00, 2024-10-15 00:00:00"
Game,Computer player froze during turn until their time when up.,The computer player should have placed cards or ended turn .,After ending my turn the ciomputer made no moves until the end of the turn.,3,"2024-03-17 00:00:00, 2024-02-22 00:00:00, 2024-02-25 00:00:00"
Game,Bug: Main Phse #2 skips and goes to opponent,I should have been able to be on my turn for this phase,The game skipped and went to the opponents side so I was not able to utilize my turn,3,"2024-03-17 00:00:00, 2024-02-25 00:00:00, 2024-10-15 00:00:00"
Login,bug: had to re-authenticate myself,auto login when clicking email,went through re-authentication process,3,"2024-02-27 00:00:00, 2024-02-27 00:00:00, 2024-02-25 00:00:00"
Second Tutorial,Adding Guardian Cards counted for Action and Reaction cards,For the cards to be sorted in its respected catergory,"The Guardian cards counted for other cards such as the Action and reaction Cards, ending the tutorial without acknowledging the other cards",3,"2024-03-12 00:00:00, 2024-02-25 00:00:00, 2024-10-03 00:00:00"
Profile,"The Player Frame, Player Title, and Player Banner buttons do not work in the profile tab. I assume this is because we are still in beta and these things are not very important but I am reporting it just in case it is supposed to work",Show me options to customize my profile more,Nothing,4,"2024-03-12 00:00:00, 2024-02-25 00:00:00, 2024-02-25 00:00:00, 2024-02-25 00:00:00"
Game,Bug: Unable to attack during battle phase,Attack with available warriors on battlefield,Was only able to attack once due to attack selections not working,3,"2024-03-11 00:00:00, 2024-02-25 00:00:00, 2024-10-15 00:00:00"
Game,Hired a card and it vanished,"Game plays card 
 after hiring them",Card was not played,3,"2024-03-06 00:00:00, 2024-02-25 00:00:00, 2024-02-25 00:00:00"
Tutorial Menu,bug: Leaving tutorial does not allow you to return even though it asks you again,Re-enter tutorial when asked in initial prompt,Cannot return to tutorial from initial prompt when asked,9,"2024-02-27 00:00:00, 2024-02-27 00:00:00, 2024-02-22 00:00:00, 2024-02-28 00:00:00, 2024-02-27 00:00:00, 2024-02-26 00:00:00, 2024-02-25 00:00:00, 2024-02-26 00:00:00, 2024-02-25 00:00:00"
Game,clicking off the browser when in tutorial,game to continue,game crashed and returned to login page,3,"2024-02-26 00:00:00, 2024-02-23 00:00:00, 2024-02-25 00:00:00"
Game,"Enhacement: limit the starting gold of player at start as its too high, or increase the general cost for hiring",feedback,feedback,3,"2024-10-12 00:00:00, 2024-10-12 00:00:00, 2024-10-12 00:00:00"
